id,title,date,thumbnail,views,likes,dislikes,comments
fiTLN-K2Xho,Inside an $85M NYC Penthouse That Comes With 2 Tickets to Space | On The Market,2019-06-21T18:32:40.000Z,https://i.ytimg.com/vi/fiTLN-K2Xho/default.jpg,"['1841750', '26099', '2972', '2623']"
U9OMDu9okCI,Amateur to Real Estate Agent: Guessing How Much a Luxury NYC Condo Costs,2019-06-19T16:00:08.000Z,https://i.ytimg.com/vi/U9OMDu9okCI/default.jpg,"['662837', '14315', '402', '1101']"
_Zr3ObadDnI,Inside John Stamos's $5.8M Beverly Hills House | Open Door | Architectural Digest,2019-06-12T14:46:59.000Z,https://i.ytimg.com/vi/_Zr3ObadDnI/default.jpg,"['6218342', '68981', '2162', '4077']"
ZR4bfNJOSA4,Inside a $10M NYC Penthouse with a Tropical Garden | On the Market | Architectural Digest,2019-06-06T16:00:04.000Z,https://i.ytimg.com/vi/ZR4bfNJOSA4/default.jpg,"['1183599', '25730', '728', '1455']"
t87mgS8HUKQ,Inside a Famous $23M Mayan-Revival Frank Lloyd Wright Mansion | On the Market | Architectural Digest,2019-05-30T16:30:02.000Z,https://i.ytimg.com/vi/t87mgS8HUKQ/default.jpg,"['1229517', '16285', '1007', '2068']"
l2mtebeR3rA,Inside Jessica Alba's $10M Los Angeles Home | Open Door | Architectural Digest,2019-05-23T12:00:02.000Z,https://i.ytimg.com/vi/l2mtebeR3rA/default.jpg,"['25674203', '298655', '8928', '16254']"
WbxcyzMmzQ4,Inside a $32 Million Upside Down House with 130 Ancient Oak Trees | Architectural Digest,2019-05-16T16:00:04.000Z,https://i.ytimg.com/vi/WbxcyzMmzQ4/default.jpg,"['2361305', '37646', '897', '2250']"
vSDuhwIhlyo,Inside a $22.5M NYC Sky Mansion | On the Market | Architectural Digest,2019-04-29T16:00:05.000Z,https://i.ytimg.com/vi/vSDuhwIhlyo/default.jpg,"['1049313', '12049', '859', '957']"
8t5Z-pVjYAE,Inside an $88M Bel Air Mansion with a Hidden Car Elevator | On the Market | Architectural Digest,2019-04-18T19:30:02.000Z,https://i.ytimg.com/vi/8t5Z-pVjYAE/default.jpg,"['16519289', '256454', '8399', '31073']"
FlsKjWqu82k,Inside Lenny Kravitz's Brazilian Farm Compound | Open Door | Architectural Digest,2019-04-17T19:30:02.000Z,https://i.ytimg.com/vi/FlsKjWqu82k/default.jpg,"['6403995', '142870', '2178', '10491']"
wT6WSR-yXp4,Inside a $25M NYC Penthouse with a Private Yoga Studio | On the Market | Architectural Digest,2019-03-27T16:00:06.000Z,https://i.ytimg.com/vi/wT6WSR-yXp4/default.jpg,"['943889', '9831', '783', '874']"
hLGOo6VZ3EU,Mattress Expert Guesses Cheap vs Expensive Mattresses | Architectural Digest,2019-03-21T16:00:03.000Z,https://i.ytimg.com/vi/hLGOo6VZ3EU/default.jpg,"['161386', '1918', '180', '260']"
RDn0K9UzCpc,Inside Kerry Washington's NYC Apartment on the Hudson River | Open Door | Architectural Digest,2019-03-14T16:00:00.000Z,https://i.ytimg.com/vi/RDn0K9UzCpc/default.jpg,"['3262066', '49416', '1530', '3600']"
p1hfiauyx60,Inside a $12M Penthouse On NYC's Upper West Side | On the Market | Architectural Digest,2019-03-12T16:00:06.000Z,https://i.ytimg.com/vi/p1hfiauyx60/default.jpg,"['892512', '9386', '982', '867']"
A85ftbv3jrg,Inside a $67M NYC Mansion with an Entire Spa Floor | On the Market | Architectural Digest,2019-02-20T17:00:05.000Z,https://i.ytimg.com/vi/A85ftbv3jrg/default.jpg,"['5249855', '73217', '2505', '6537']"
